system,precision,recall,NDCG,MRR,diversity,novelty,coverage,serendipity
BERT,0.3205710955710956,0.0690062937062937,0.5793717365967366,0.5056018648018649,0.9202832621086856,0.03569917527225548,0.0,0.0026581010873646684
Baseline,0.21241258741258742,0.0406739898989899,0.45896952214452214,0.3737439588189588,0.9446172566653183,0.038195113046182456,0.0,0.003343820754983831
MFCC bow,0.2863636363636364,0.05816462703962705,0.542869017094017,0.4630126651126651,0.9255336826360424,0.037922617452653594,0.0,0.0027379918629895183
MFCC stat,0.17997280497280496,0.03703624708624709,0.408052331002331,0.2820229215229215,0.9472534357117133,0.03296350183689857,0.0,0.0039271423997923605
ResNet,0.3027972027972028,0.05946482128982129,0.5790736208236208,0.5206322455322455,0.9229677942234777,0.0372321859901982,0.0,0.0028155749256666036
TFIDF,0.26958041958041956,0.05304576534576535,0.525983275058275,0.4451195027195027,0.9305038159622929,0.03667575124401238,0.0,0.002866930501334494
VGG19,0.2973776223776224,0.05839636752136752,0.5783580613830613,0.5156469502719503,0.9240328343929598,0.03617588076307591,0.0,0.0028211780576890937
LambdaRank,0.1317016317016317,0.026553826728826727,0.376928613053613,0.2514747863247863,0.9785722287001251,0.06041153354270934,0.0,0.0029359470316916644
