system,precision,recall,NDCG,MRR,diversity,novelty,coverage,serendipity
MFCC bow,0.28300000000000003,0.076589,0.540094,0.4661865,0.9262204289373891,0.03692414111992546,0.0,0.0026407418056353825
MFCC bow cos,0.3625,0.090343,0.618911,0.5596,0.9036020591631387,0.03504038615342026,0.0,0.0020430851063829437
MFCC stat,0.172,0.061639,0.39334,0.276182,0.9470587605106826,0.03291694967723728,0.0,0.0037659574468084612
MFCC stat cos,0.3575,0.0811675,0.6227024999999999,0.5683025,0.9048757947752983,0.03634490607248237,0.0,0.0019122340425531531
